temp_huan1,temp_21#bellow_sul,temp_20#bellow_sul,temp_24#bellow_nor,temp_23#bellow_nor,temp_22#bellow_nor,temp_21#bellow_nor,temp_20#bellow_nor,prequency_fan_2,pressure_flue_sul,pressure_flue_nor,temp_flue_nor,thickness,hun2_water,hun2_waterq,zhonghe,fankuang,SS_FeO_value,SS_FeO_value.1,SS_FeO_value.2
354.0,437.8,413.0,462.8,513.8,499.6,497.8,440.8,6.09,-13.728,-13.713,151.0,769.1332,5.9254,60.0,0.60033646,0.247496203,0.0,0.0,0.0
352.8,437.8,413.6,464.0,513.2,498.4,496.0,437.0,6.2314,-13.7202,-13.716,151.0,764.3468,5.9628,60.0,0.599989668,0.247971182,0.0,0.0,0.0
351.6,437.8,414.2,465.2,512.6,497.4,494.2,433.2,6.3728,-13.7124,-13.719,151.0,759.5604,6.0002,60.0,0.599642875,0.248446161,0.0,0.0,0.0
349.6,437.0,412.4,465.8,512.0,496.8,493.0,435.2,6.3728,-13.7096,-13.719,151.0,763.598,5.9788,60.0,0.600575,0.24781888,9.3,9.3,9.3
348.6,436.2,410.4,466.0,511.4,496.6,491.8,439.2,6.2308,-13.7048,-13.721,151.0,761.791,5.964,60.0,0.600018744,0.248407121,0.0,0.0,0.0
348.0,436.2,410.6,462.2,510.0,496.0,491.6,445.0,6.1642,-13.693,-13.7074,151.0,763.7446,5.9816,60.0,0.599258465,0.249403686,0.0,0.0,0.0
347.6,436.2,410.6,457.6,508.2,495.4,492.0,451.2,6.0982,-13.686,-13.6898,151.0,772.2102,6.0234,60.0,0.599506376,0.249144357,0.0,0.0,0.0
347.2,436.0,410.4,453.6,507.8,496.4,493.6,456.0,6.014,-13.679,-13.6614,151.0,776.0686,6.0856,60.0,0.598307804,0.250376665,9.3,9.3,9.22
347.6,437.0,412.4,450.2,507.8,497.0,494.8,456.4,6.0712,-13.672,-13.635,151.0,775.222,6.1684,60.0,0.596880524,0.252037772,0.0,0.0,0.0
348.0,438.2,414.0,448.2,508.4,497.8,496.4,455.8,6.1246,-13.6622,-13.5998,151.4,772.324,6.2256,60.0,0.598277642,0.250489324,0.0,0.0,0.0
347.0,438.6,414.6,451.8,509.8,500.0,497.6,453.8,6.1436,-13.6544,-13.5822,151.6,767.7818,6.23,60.0,0.598388606,0.250052421,0.0,0.0,0.0
346.0,439.4,415.2,455.4,512.6,502.4,499.2,451.8,6.1626,-13.6466,-13.5646,151.8,763.2396,6.2044,60.0,0.598276343,0.249854372,9.22,9.22,9.2
345.0,440.4,416.0,458.4,514.0,503.2,499.6,451.2,6.1998,-13.6388,-13.5578,152.0,763.3046,6.1584,60.0,0.599610562,0.248164685,0.0,0.0,0.0
344.8,443.2,420.0,461.6,515.6,504.0,500.2,451.6,6.2466,-13.633,-13.555,152.6,759.8206,6.0954,60.0,0.601307026,0.246195045,0.0,0.0,0.0
345.2,445.8,424.4,464.6,516.6,505.8,500.4,453.0,6.2972,-13.63,-13.561,152.8,758.388,6.058,60.0,0.600179092,0.247434959,0.0,0.0,0.0
346.6,449.8,430.4,466.0,519.2,507.0,501.8,454.0,6.3126,-13.632,-13.5708,152.8,755.6856,6.1312,60.0,0.599460073,0.248552918,9.2,9.2,9.22
347.6,453.0,436.4,467.4,521.0,508.4,503.2,455.0,6.328,-13.634,-13.5806,152.8,752.9832,6.2044,60.0,0.598741055,0.249670877,0.0,0.0,0.0
348.6,456.2,443.2,469.6,523.2,509.8,504.6,455.0,6.3046,-13.6428,-13.5904,153.0,752.674,6.274,60.0,0.598081525,0.250225303,0.0,0.0,0.0
348.8,458.0,446.8,471.6,525.2,511.6,506.2,454.0,6.2716,-13.6496,-13.5962,152.8,755.9138,6.3606,60.0,0.59705975,0.251059682,0.0,0.0,0.0
350.2,459.8,450.6,472.8,527.0,512.4,507.2,451.8,6.1998,-13.6506,-13.599,152.4,758.5186,6.4384,60.0,0.596667323,0.251938479,9.22,9.22,9.25
353.0,459.8,451.6,473.8,527.0,513.0,506.6,450.4,6.1236,-13.6496,-13.596,152.6,765.7958,6.3974,60.0,0.597002309,0.251354493,0.0,0.0,0.0
357.4,459.4,452.6,474.6,526.4,512.4,505.8,450.0,6.0644,-13.6448,-13.595,152.6,770.3216,6.3476,60.0,0.598200479,0.249953731,0.0,0.0,0.0
359.4,459.4,453.2,474.2,525.8,512.0,505.4,448.0,6.0264,-13.6332,-13.5882,152.6,769.4424,6.319,60.0,0.598086023,0.250212754,0.0,0.0,0.0
361.4,459.4,453.8,473.8,525.2,510.6,504.6,446.0,5.9884,-13.6216,-13.5814,152.6,774.0822,6.3256,60.0,0.598320003,0.249731287,9.25,9.25,9.29
362.6,458.8,452.8,472.6,524.2,508.8,503.4,444.2,6.0104,-13.6186,-13.5698,153.0,773.1868,6.2106,60.0,0.597669964,0.249582394,0.0,0.0,0.0
